263,Reynolds,Price
264,Richard,Alpert
265,Richard,Bachman
266,Richard,Freeborn
267,Richard,Howard
268,Richard,Hull
269,Richard,Miller
270,Richard,Platt
271,Richard,Poe
273,Richmond,Lattimore
274,Rick,Moody
275,Roald,Dahl
276,Rob,Inglis
277,Robert,Fitzgerald
279,Robert,Hurley
280,Robert,Ludlum
282,Robert,Vavra
283,Robin,Buss
284,Robin,Waterfield
285,Roger,Penrose
286,Roma,Gill
287,Ron,Barrett
288,Ron,McLarty
289,Rosemary,Edghill
290,Russ,Roberts
291,S.D.,Schindler
292,Sally,Jenkins
293,Sandra,Brown
295,Scott,Brick
296,Scott,McKowen
297,Simon,Fraser
298,Simon,Vance
299,Stanley,Appelbaum
300,Stephen,Hawking
302,Stephen,King
303,Stephen,Lang
304,Stephen,Sartarelli
305,Stephen,Snyder
306,Steve,McMillan
307,Steven,Pressfield
308,Sverre,Lyngstad
309,Takeshi,Obata
310,Thomas,Cleary
311,Thomas,Pynchon
312,Tiina,Nunnally
313,Todd,McCaffrey
314,Tony,Ross
315,Tracy,Hickman
316,Travis,Bogard
318,Troy,Howell
320,Various,
321,Vera,Neville
322,Vicente,Villacampa
323,Viggo,Mortensen
324,Virginia,Woolf
325,Vladimir,Nabokov
326,W.H.D.,Rouse
328,Walter,Hooper
329,Warren,Chang
330,Wayne,Alfano
332,Wendell,Minor
334,William,Flanagan
336,William,Hootkins
337,William,Irwin
339,William,Weaver
340,Yoshitaka,Amano
341,A.B.,Yehoshua
343,Abraham,Lincoln
344,Adam,Drozdek
345,Adam,Hochschild
346,Adam,Swift
347,Adrian,McKinty
348,Aeschylus,
351,Al,Franken
352,Al,Ries
355,Alan,Hollinghurst
356,Alan,Lightman
357,Alan,Paton
358,Albert,Camus
360,Albert,Einstein
361,Alcoholics,Anonymous
362,Aldous,Huxley
365,Alexander,Payne
366,Alexander,Pope
367,Alexander,Pushkin
368,Alexandra,Moss
369,Alexandre,Dumas
370,Alice,Dalgliesh
371,Alice,Hoffman
